user_id,task_count,task_id,choice_right,left_width_m,right_width_m,left_length_m,right_length_m,left_stairs,right_stairs,right_width_advantage_m,right_shortness_advantage_m,right_stairs_advantage,previous_choice_right,trial_progress,time_remaining_ms,decision_time_ms,confidence
11017391,1,25_L-WM0_R-NM0,0,4.0,2.0,15.0,15.0,0,0,-2.0,0.0,0,0.0,0.05,5253.0,2747.0,5.0
11017391,2,56_L-WL0_R-NM1,1,4.0,2.0,20.0,15.0,0,1,-2.0,5.0,1,-1.0,0.1,5451.0,2549.0,5.0
11017391,3,54_L-NS0_R-WM1,1,2.0,4.0,10.0,15.0,0,1,2.0,-5.0,1,1.0,0.15,5378.0,2622.0,5.0
11017391,4,19_L-NM0_R-WL0,1,2.0,4.0,15.0,20.0,0,0,2.0,-5.0,0,1.0,0.2,5950.0,2050.0,4.0
11017391,5,53_L-NM1_R-WS0,0,2.0,4.0,15.0,10.0,1,0,2.0,5.0,-1,1.0,0.25,4994.0,3006.0,3.0
11017391,6,49_L-NM0_R-WM1,1,2.0,4.0,15.0,15.0,0,1,2.0,0.0,1,-1.0,0.3,5773.0,2227.0,4.0
11017391,7,35_L-WS1_R-NL0,0,4.0,2.0,10.0,20.0,1,0,-2.0,-10.0,-1,1.0,0.35,5521.0,2479.0,4.0
11017391,8,45_L-ES1_R-EM0,0,2.0,2.0,10.0,15.0,1,0,0.0,-5.0,-1,-1.0,0.4,5550.0,2450.0,4.0
11017391,9,40_L-EM0_R-ES1,1,2.0,2.0,15.0,10.0,0,1,0.0,5.0,1,-1.0,0.45,5555.0,2445.0,4.0
11017391,10,61_L-WM1_R-NL0,0,4.0,2.0,15.0,20.0,1,0,-2.0,-5.0,-1,1.0,0.5,5952.0,2048.0,5.0
11017391,11,62_L-WM1_R-NM0,0,4.0,2.0,15.0,15.0,1,0,-2.0,0.0,-1,-1.0,0.55,5884.0,2116.0,5.0
11017391,12,34_L-WS0_R-NM0,0,4.0,2.0,10.0,15.0,0,0,-2.0,-5.0,0,-1.0,0.6,5883.0,2117.0,3.0
11017391,13,44_L-ES0_R-EM1,1,2.0,2.0,10.0,15.0,0,1,0.0,-5.0,1,-1.0,0.65,5786.0,2214.0,4.0
11017391,14,13_L-WS0_R-NM1,1,4.0,2.0,10.0,15.0,0,1,-2.0,-5.0,1,1.0,0.7,5816.0,2184.0,4.0
11017391,15,07_L-EM0_R-ES0,1,2.0,2.0,15.0,10.0,0,0,0.0,5.0,0,1.0,0.75,6183.0,1817.0,3.0
11017391,16,05_L-EM0_R-EL0,0,2.0,2.0,15.0,20.0,0,0,0.0,-5.0,0,1.0,0.8,4319.0,3681.0,2.0
11017391,17,50_L-NM0_R-WS1,1,2.0,4.0,15.0,10.0,0,1,2.0,5.0,1,-1.0,0.85,6034.0,1966.0,5.0
11017391,18,09_L-ES0_R-EL1,1,2.0,2.0,10.0,20.0,0,1,0.0,-10.0,1,1.0,0.9,5983.0,2017.0,4.0
11017391,19,47_L-NL1_R-WM0,1,2.0,4.0,20.0,15.0,1,0,2.0,5.0,-1,1.0,0.95,4988.0,3012.0,2.0
11017391,20,31_L-WM0_R-NS0,0,4.0,2.0,15.0,10.0,0,0,-2.0,5.0,0,1.0,1.0,5585.0,2415.0,3.0
11065958,1,48_L-NM0_R-WL1,1,2.0,4.0,15.0,20.0,0,1,2.0,-5.0,1,0.0,0.05,4649.0,3351.0,4.0
11065958,2,63_L-WM1_R-NS0,0,4.0,2.0,15.0,10.0,1,0,-2.0,5.0,-1,1.0,0.1,5505.0,2495.0,4.0
11065958,3,28_L-WL0_R-NS1,0,4.0,2.0,20.0,10.0,0,1,-2.0,10.0,1,-1.0,0.15,1808.0,6192.0,2.0
11065958,4,15_L-NL0_R-WM0,1,2.0,4.0,20.0,15.0,0,0,2.0,5.0,0,-1.0,0.2,4881.0,3119.0,4.0
